ACCURACY of the 1th score: 0.5123251165889408
PRECISION of the 1th score: 0.3333333333333333
RECALL of the 1th score: 0.17077503886298026
F-MEASURE of the 1th score: 0.22584434654919236
ACCURACY of the 2th score: 0.0
PRECISION of the 2th score: 0.0
RECALL of the 2th score: 0.0
F-MEASURE of the 2th score: 0.0
ACCURACY of the 3th score: 0.0
PRECISION of the 3th score: 0.0
RECALL of the 3th score: 0.0
F-MEASURE of the 3th score: 0.0
ACCURACY of the 4th score: 0.5473541383989146
PRECISION of the 4th score: 0.3333333333333333
RECALL of the 4th score: 0.18245137946630485
F-MEASURE of the 4th score: 0.23582368759499595
ACCURACY of the 5th score: 0.004202215713739972
PRECISION of the 5th score: 0.3333333333333333
RECALL of the 5th score: 0.0014007385712466573
F-MEASURE of the 5th score: 0.0027897539944204915
ACCURACY of the 1th score: 0.13657561625582945
PRECISION of the 1th score: 0.25
RECALL of the 1th score: 0.03414390406395736
F-MEASURE of the 1th score: 0.06008206330597891
ACCURACY of the 2th score: 0.12494039103481164
PRECISION of the 2th score: 0.25
RECALL of the 2th score: 0.03123509775870291
F-MEASURE of the 2th score: 0.055532005086901225
